,Haversine_Distance
1079,42.39749158892248
1080,42.327549766538915
1081,42.67434101122749
1082,57.1321548180012
1083,115.04716049032056
1084,110.2669238032832
1085,109.99300036304045
1086,109.99300036304045
1087,118.17954859702185
1088,8.840427975931833
1089,11.256731115713466
1090,3.336655239181387
1091,45.49614288206953
1092,6.920945546799614
1093,38.66457178966993
1094,11.965782762233895
1095,40.97139294560466
1096,42.384258920786074
1097,41.75517346894444
1098,39.6610076095445
1099,33.493588944558745
1100,35.732670754734514
1101,35.70775665703366
1102,41.57567221360745
1103,39.810374732595214
1104,35.732670754734514
1105,39.88309213398283
1106,35.37246466635452
1107,40.38777397429673
1108,127.14942646952593
1109,127.14942646952593
1110,129.6225763699579
1111,127.18154564718799
1112,127.14942646952593
1113,129.19817090516605
1114,130.26417865298305
1115,72.56944860916941
1116,86.95039245085735
1117,86.95039245085735
1118,95.65379420967062
1119,86.95039245085735
1120,88.22703890459087
1121,89.39952802921432
1122,126.27219472318184
1123,125.86933911056458
1124,122.4118564251037
1125,146.28483212705854
1126,145.68355964536354
1127,146.28483212705854
1128,126.4569986925703
1129,28.443281326344568
1130,48.21051919956839
1131,48.77155376274356
1132,48.44949072919388
1133,48.77155376274356
1134,105.92613141462334
1135,102.41895973058209
1136,89.87897765564342
1137,98.66185956662285
1138,104.87386366316656
1139,98.59993764531397
1140,106.52730601158335
1141,38.05370664902886
1142,19.414759132492883
1143,33.145057276188105
1144,36.19277722642343
1145,33.80390319142327
1146,36.19277722642343
1147,41.49549530940783
1148,40.73680608751603
1149,39.16747498554808
1150,39.35767182397653
1151,36.05869306459485
1152,41.97917772207555
1153,80.14040638490725
1154,85.75335319032067
1155,84.80595495243489
1156,80.92790070094198
1157,82.23214722824527
1158,84.80595495243489
1159,82.93225191627872
1160,83.63817439219505
1161,77.81598555493623
1162,29.002618612951512
1163,95.24765034441435
1164,95.04091851095333
1165,57.739932589217226
1166,65.97513675503589
1167,95.45326192856113
1168,49.95119449073398
1169,77.81598555493623
1170,125.28087080653292
1171,97.73243191692826
1172,115.54547313165486
1173,86.95039245085735
1174,67.43651063059856
1175,91.34773544550303
1176,72.77356121082504
1177,10.631999476636501
1178,45.49614288206953
1179,26.04230922366078
1180,42.384258920786074
1181,21.760039361631634
1182,36.21824390925801
1183,41.58645993942089
1184,36.05869306459485
1185,41.69314891061211
1186,33.493588944558745
1187,33.38603150988534
1188,34.0389990977101
1189,35.70775665703366
1190,41.57567221360745
1191,39.810374732595214
1192,39.88309213398283
1193,30.353360348714208
1194,28.340765562479923
1195,29.3659374120342
1196,30.524211132344842
1197,30.524211132344842
1198,29.140189917970435
1199,85.75335319032067
1200,84.80595495243489
1201,84.80595495243489
1202,84.80595495243489
1203,82.93225191627872
1204,104.68224297819614
1205,104.68224297819614
1206,127.14942646952593
1207,129.6225763699579
1208,129.19817090516605
1209,130.26417865298305
1210,16.88618029764552
1211,21.331168122114907
1212,21.331168122114907
1213,21.963026149987368
1214,72.26439779754718
1215,89.87897765564342
1216,89.87897765564342
1217,91.02718303953071
1218,86.95978877717648
1219,34.09571139686762
1220,19.414759132492883
1221,33.145057276188105
1222,33.80390319142327
1223,102.41895973058209
1224,104.87386366316656
1225,104.87386366316656
1226,101.65627700729945
1227,106.52730601158335
1228,94.78598634588046
1229,91.26108706070643
1230,93.80233835386801
1231,96.9396448623267
1232,95.55121621562104
1233,94.6692372182695
1234,55.487816434203985
1235,75.95594424101573
1236,72.78158249175921
1237,55.17740649922963
1238,76.01775147024061
1239,47.31374935726954
1240,55.07160858561028
1241,65.97513675503589
1242,39.6610076095445
1243,82.92693109007908
1244,79.29506462065754
1245,74.62169189262086
1246,73.75096420853768
1247,78.79749012011636
1248,145.238672376875
1249,126.27219472318184
1250,122.77472163689583
1251,122.4118564251037
1252,145.68355964536354
