ID_Empfänger;ID_Sendung;Beladedatum;Gewicht;Frachtkosten;Straße_Absender;PLZ_Absender;Stadt_Absender;Straße_Empfänger;PLZ_Empfänger;Stadt_Empfänger;Haus_Empfänger;Kalenderwoche
1333;144;2020-01-06;2344.0;108.91;Trinidadstraße 44;27356;Rotenburg (Wümme);WESTALLEE ;49661;CLOPPENBURG;133 ;1
1334;145;2020-01-06;21274.2;203.79;Trinidadstraße 44;27356;Rotenburg (Wümme);VISBEKER DAMM ;49429;VISBEK;1A ;1
1077;146;2020-01-06;248.18;65.88;Trinidadstraße 44;27356;Rotenburg (Wümme);WERNER ECKART RING ;49661;CLOPPENBURG;13 ;1
734;147;2020-01-06;28.697;43.02;Trinidadstraße 44;27356;Rotenburg (Wümme);MEERWEG ;26133;OLDENBURG;30;1
1097;148;2020-01-06;686.013;75.43;Trinidadstraße 44;27356;Rotenburg (Wümme);HINTERM RHADEN ;26188;EDEWECHT;12 ;1
960;149;2020-01-06;44.598;43.02;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;26160;BAD ZWISCHENAHN;3 ;1
1074;150;2020-01-06;689.359;75.43;Trinidadstraße 44;27356;Rotenburg (Wümme);LANGENWEG ;26125;OLDENBURG;34 ;1
1255;151;2020-01-06;1482.73;93.27;Trinidadstraße 44;27356;Rotenburg (Wümme);HINTERM RHADEN ;26188;EDEWECHT;6 ;1
1145;152;2020-01-06;424.8;62.83;Trinidadstraße 44;27356;Rotenburg (Wümme);BARNSTORFER STRASSE ;49424;GOLDENSTEDT;14 ;1
1107;153;2020-01-06;6432.91;153.76;Trinidadstraße 44;27356;Rotenburg (Wümme);AMERBUSCHER STRASSE ;49424;GOLDENSTEDT;27 ;1
998;154;2020-01-06;18.137;73.3088184981154;Trinidadstraße 44;27356;Rotenburg (Wümme);HAGOLASTRASSE ;49424;GOLDENSTEDT;2 ;1
1137;155;2020-01-06;29.028;46.5;Trinidadstraße 44;27356;Rotenburg (Wümme);NORMANNENSTRASSE ;26723;EMDEN;10 ;1
1267;156;2020-01-06;93.48;59.39;Trinidadstraße 44;27356;Rotenburg (Wümme);AMMOLANDSWEG ;26759;HINTE;8 ;1
1337;157;2020-01-06;7099.27;188.75;Trinidadstraße 44;27356;Rotenburg (Wümme);WANKELSTRASSE ;26802;MOORMERLAND;5 ;1
1203;158;2020-01-06;312.188;70.62;Trinidadstraße 44;27356;Rotenburg (Wümme);MÜHLENWEG ;26789;LEER (OSTFRIESLAND);2D ;1
1389;159;2020-01-06;382.737;73.36;Trinidadstraße 44;27356;Rotenburg (Wümme);WESTFALENSTRASSE ;26723;EMDEN;2 ;1
1269;160;2020-01-06;6097.0;172.58;Trinidadstraße 44;27356;Rotenburg (Wümme);TEUTONENSTRASSE ;26723;EMDEN;4 ;1
1037;161;2020-01-06;484.0;75.98;Trinidadstraße 44;27356;Rotenburg (Wümme);KOLKWEG ;26844;JEMGUM;3 ;1
775;162;2020-01-06;4608.75;149.99;Trinidadstraße 44;27356;Rotenburg (Wümme);FENNENWEG ;26844;JEMGUM;4 ;1
1264;163;2020-01-06;162.175;69.11;Trinidadstraße 44;27356;Rotenburg (Wümme);DIESELSTRASSE ;26871;PAPENBURG;1 ;1
1307;164;2020-01-06;4011.68;139.12;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;26683;SATERLAND;5 ;1
1308;165;2020-01-06;760.841;81.28;Trinidadstraße 44;27356;Rotenburg (Wümme);KRÄHENWEG ;26683;SATERLAND;19 ;1
1265;166;2020-01-06;14.694;24.61;Trinidadstraße 44;27356;Rotenburg (Wümme);FLACHSMEERSTRASSE ;26871;PAPENBURG;55;1
972;167;2020-01-06;106.301;69.11;Trinidadstraße 44;27356;Rotenburg (Wümme);HANSESTRASSE ;26871;PAPENBURG;1 ;1
1266;168;2020-01-06;22.88;24.61;Trinidadstraße 44;27356;Rotenburg (Wümme);HAUPTKANAL LINKS ;26871;PAPENBURG;72 ;1
1191;169;2020-01-06;735.0;61.5;Trinidadstraße 44;27356;Rotenburg (Wümme);FREESENSTRASSE ;27327;MARTFELD;11 ;1
1305;170;2020-01-06;1891.45;80.4;Trinidadstraße 44;27356;Rotenburg (Wümme);SYKER STRASSE ;27321;THEDINGHAUSEN;205;1
1304;171;2020-01-06;1018.71;66.34;Trinidadstraße 44;27356;Rotenburg (Wümme);BAHNHOFSTRASSE ;27321;THEDINGHAUSEN;56 ;1
1325;172;2020-01-06;1122.32;58.69;Trinidadstraße 44;27356;Rotenburg (Wümme);WESERSTRASSE ;27283;VERDEN;32 ;1
1235;173;2020-01-06;7938.13;127.41;Trinidadstraße 44;27356;Rotenburg (Wümme);FOCKESTRASSE ;27777;GANDERKESEE;53 ;1
